Gene;CommonName;Nit;Glu;Eth;Ana
YIR044C;YIR044C;6.731787386;2.587945628;4.250808066;4.557822534
YJL001W;PRE3;242.46791;161.1728581;120.0215682;151.1959986
YJL002C;OST1;146.0404422;103.8337696;84.73131252;123.3415258
YJL003W;COX16;87.71902589;64.68693211;62.10737489;63.20394706
YJL004C;SYS1;51.5476908;43.43598961;32.79146921;41.14158547
YJL005W;CYR1;77.33639298;40.44172763;37.14887253;47.4440544
YJL006C;CTK2;39.92169763;21.83504076;17.78790541;26.10572149
YJL007C;YJL007C;3.134917155;2.556485742;1.743731596;4.037263337
YJL008C;CCT8;128.0576437;92.24728416;81.20648013;99.6212366
YJL009W;YJL009W;109.7618072;77.48045479;75.08368424;87.5320091
YJL010C;NOP9;29.6442618;24.74778798;17.57496829;26.12220917
YJL011C;RPC17;28.20640323;23.06827557;12.1166741;21.7592015
YJL012C;VTC4;128.140498;47.57371038;47.24328694;54.85855376
YJL013C;MAD3;25.43287592;23.24992499;17.30700426;26.71229125
YJL014W;CCT3;145.6324913;94.43007131;73.04656382;111.9157863
YJL015C;YJL015C;24.48219793;31.04202098;15.8180448;18.36139993
YJL016W;YJL016W;47.27754694;64.25642629;28.64773133;37.06593063
YJL019W;MPS3;34.340747;23.9012381;36.57859966;25.40408842
YJL020C;BBC1;82.59800951;70.55399582;57.6010644;68.59899037
YJL020W-A;YJL020W-A;101.6825379;94.96132652;72.91066984;79.69343525
YJL022W;YJL022W;19.92216883;20.5812272;16.94729968;16.08620639
YJL023C;PET130;21.88140694;24.23586012;19.10623475;21.1902419
YJL024C;APS3;37.48237091;33.7557392;20.53842512;28.55553202
YJL025W;RRN7;10.82510949;8.437234922;6.796742036;9.351573309
YJL026C-A;YJL026C-A;402.3044568;664.2491536;321.3270367;471.3392035
YJL026W;RNR2;419.9902161;700.1144977;347.4723783;479.1295372
YJL027C;YJL027C;2.641586445;2.864321615;1.23561007;1.402140718
YJL028W;YJL028W;1.614122568;0.989440197;1.370610727;1.623763301
YJL029C;VPS53;38.62918712;30.24870337;24.60739423;31.52800313
YJL030W;MAD2;34.02547748;31.16686299;23.56414694;27.8455855
YJL031C;BET4;49.13157213;35.09014469;25.15346457;42.97205174
YJL032W;YJL032W;45.68831812;38.35159367;30.64259185;46.40834434
YJL033W;HCA4;30.92093734;29.62612121;19.21079915;32.63617962
YJL034W;KAR2;274.2968721;343.2508545;241.2424297;417.6273573
YJL035C;TAD2;9.669271257;9.072601188;6.632256184;16.86179685
YJL036W;SNX4;61.85383693;47.72462145;43.77756031;40.37535407
YJL037W;IRC18;2.576991394;10.77766226;10.90940678;19.12958291
YJL038C;LOH1;8.538874017;10.17919691;11.18153324;13.70703237
YJL039C;NUP192;57.6123294;40.19074359;41.51421984;45.45561774
YJL041W;NSP1;64.63849944;54.80295478;50.67386842;69.89096991
YJL042W;MHP1;103.8436375;67.57532073;67.07230863;97.18591852
YJL043W;YJL043W;1.375132212;2.217924073;1.808232478;4.251777189
YJL044C;GYP6;37.64650789;33.23076112;27.14237375;47.64351143
YJL045W;YJL045W;5.198048618;64.04313461;64.07058707;5.550284114
YJL046W;AIM22;28.05334406;21.21092616;19.28503519;23.51895114
